,custom_fields,figshare_url,description,funding,version,status,size,created_date,modified_date,is_public,is_confidential,is_metadata_record,confidential_reason,metadata_reason,license,references,has_linked_file,citation,is_embargoed,embargo_date,embargo_type,embargo_title,embargo_reason,embargo_options,id,title,doi,handle,url,published_date,thumb,defined_type,defined_type_name,group_id,url_private_api,url_public_api,url_private_html,url_public_html,timeline,resource_title,resource_doi,views,posted,firstOnline,group_name,parent_group_name,Associated Collection (custom field),Building,Data Classification,Did you add a README file?,Grant number,I confirm the information shared has been deidentified.,Issue,Journal,Lab,Lab Group (custom field),Language,List added by CSV,Type of Subject,Volume,email,links,test,test custoom field,ttest,Досвід
0,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/journal_contribution/test/8377090,<p>Description</p>,Computer Aided Detection of Diabetic Retinopathy in Veterans with Diabetes,1,public,2628324,2023-04-12T17:07:21Z,2023-04-12T17:07:21Z,True,False,False,,,"{'value': 1, 'name': 'CC BY', 'url': 'https://creativecommons.org/licenses/by/4.0/'}",[],False,"faber, figshare admin (2023): test. Faber College. Journal contribution. https://doi.org/10.0166/FK2.stagefigshare.8377090.v1",False,,,,,[],8377090,test,10.0166/FK2.stagefigshare.8377090.v1,,https://api.figsh.com/v2/articles/8377090,2023-04-12T17:07:21Z,https://s3-eu-west-1.amazonaws.com/testfigsharepreviews.figshare.com/830385934/thumb.png,6,journal contribution,9991,https://api.figsh.com/v2/account/articles/8377090,https://api.figsh.com/v2/articles/8377090,https://figsh.com/account/articles/8377090,https://faber.figsh.com/articles/journal_contribution/test/8377090,"{'posted': '2023-04-12T17:07:21', 'firstOnline': '2023-04-12T17:07:21', 'id': 8377090}",,,0,2023-04-12T17:07:21,2023-04-12T17:07:21,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
1,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/dataset/Ant_behaviour_data_set/8332638,<p>dataset relating to xxxxx</p>,Internal Lancaster Funding,1,public,23668,2023-03-24T15:16:19Z,2023-03-24T15:16:19Z,True,False,False,,,"{'value': 2, 'name': 'CC-0', 'url': 'https://creativecommons.org/publicdomain/zero/1.0/'}",[],False,"Clark, Adrian; hansen, kurt (2023): Ant behaviour data set. Faber College. Dataset. https://doi.org/10.0166/FK2.stagefigshare.8332638.v1",False,,file,,,[],8332638,Ant behaviour data set,10.0166/FK2.stagefigshare.8332638.v1,,https://api.figsh.com/v2/articles/8332638,2023-03-24T15:16:19Z,https://s3-eu-west-1.amazonaws.com/testfigsharepreviews.figshare.com/830360616/thumb.png,3,dataset,9991,https://api.figsh.com/v2/account/articles/8332638,https://api.figsh.com/v2/articles/8332638,https://figsh.com/account/articles/8332638,https://faber.figsh.com/articles/dataset/Ant_behaviour_data_set/8332638,"{'posted': '2023-03-24T15:16:19', 'firstOnline': '2023-03-24T15:16:19', 'id': 8332638}",,,0,2023-03-24T15:16:19,2023-03-24T15:16:19,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
2,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/dataset/Data_supporting_wood_ants_behaviour/8327074,"<p>Ant behaviour is of great interest due to their sociality. Ant behaviour is typically observed visually, however there are many circumstances where visual observation is not possible. It may be possible to assess ant behaviour using vibration signals produced by their physical movement. We demonstrate through a series of bioassays with different stimuli that the level of activity of meat ants (Iridomyrmex purpureus) can be quantified using vibrations, corresponding to observations with video. We found that ants exposed to physical shaking produced the highest average vibration amplitudes followed by ants with stones to drag, then ants with neighbours, illuminated ants and ants in darkness. In addition, we devised a novel method based on wavelet decomposition to separate the vibration signal owing to the initial ant behaviour from the substrate response, which will allow signals recorded from different substrates to be compared directly. Our results indicate the potential to use vibration signals to classify some ant behaviours in situations where visual observation could be difficult.</p>",UKRI Trustworthy Autonomous Systems Node in Verifiability,1,public,23668,2023-03-22T09:57:21Z,2023-03-22T10:06:11Z,True,False,False,,,"{'value': 6, 'name': 'GPL-3.0', 'url': 'https://www.gnu.org/licenses/gpl-3.0.html'}",[],False,"faber, figshare admin; Clark, Adrian (2023): Data supporting wood ants behaviour. Faber College. Dataset. https://doi.org/10.0166/FK2.stagefigshare.8327074.v1",False,,article,,,[],8327074,Data supporting wood ants behaviour,10.0166/FK2.stagefigshare.8327074.v1,,https://api.figsh.com/v2/articles/8327074,2023-03-22T09:57:21Z,https://s3-eu-west-1.amazonaws.com/testfigsharepreviews.figshare.com/830355168/thumb.png,3,dataset,9991,https://api.figsh.com/v2/account/articles/8327074,https://api.figsh.com/v2/articles/8327074,https://figsh.com/account/articles/8327074,https://faber.figsh.com/articles/dataset/Data_supporting_wood_ants_behaviour/8327074,"{'posted': '2023-03-22T09:57:21', 'firstOnline': '2023-03-22T09:57:21', 'id': 8327074}",A motion compensation treadmill for untethered wood ants (Formica rufa): evidence for transfer of orientation memories from free-walking training,10.1242/jeb.228601,0,2023-03-22T09:57:21,2023-03-22T09:57:21,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
3,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/media/Exhibition_B_Image/8271566,<p>Final composition </p>,UKRI AHRC Impact Acceleration Account,1,public,1245770,2023-02-20T15:09:10Z,2023-02-20T15:09:10Z,True,False,False,,,"{'value': 2, 'name': 'CC-0', 'url': 'https://creativecommons.org/publicdomain/zero/1.0/'}",[],False,"Clark, Adrian (2023): Exhibition B Image. Faber College. Media. https://doi.org/10.0166/FK2.stagefigshare.8271566.v1",False,,file,,,[],8271566,Exhibition B Image,10.0166/FK2.stagefigshare.8271566.v1,,https://api.figsh.com/v2/articles/8271566,2023-02-20T15:09:10Z,https://s3-eu-west-1.amazonaws.com/testfigsharepreviews.figshare.com/830323572/thumb.png,2,media,9991,https://api.figsh.com/v2/account/articles/8271566,https://api.figsh.com/v2/articles/8271566,https://figsh.com/account/articles/8271566,https://faber.figsh.com/articles/media/Exhibition_B_Image/8271566,"{'posted': '2023-02-20T15:09:10', 'firstOnline': '2023-02-20T15:09:10', 'id': 8271566}",,,37,2023-02-20T15:09:10,2023-02-20T15:09:10,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
4,"[{'name': 'Associated Collection (custom field)', 'value': ''}]",https://faber.figsh.com/articles/dataset/Metadata_only_record/8250360,Testing this out,,1,public,0,2023-02-10T16:22:14Z,2023-02-10T16:22:14Z,True,False,True,,Physical Specimen,"{'value': 1, 'name': 'CC BY', 'url': 'https://creativecommons.org/licenses/by/4.0/'}","['http://www.bdnyc.org', 'http://www.recons.org']",False,"Na, Young In (2023): Metadata only record. Faber College. Dataset. https://doi.org/10.0166/FK2.stagefigshare.8250360.v1",False,,,,,[],8250360,Metadata only record,10.0166/FK2.stagefigshare.8250360.v1,,https://api.figsh.com/v2/articles/8250360,2023-02-10T16:22:14Z,,3,dataset,9991,https://api.figsh.com/v2/account/articles/8250360,https://api.figsh.com/v2/articles/8250360,https://figsh.com/account/articles/8250360,https://faber.figsh.com/articles/dataset/Metadata_only_record/8250360,"{'posted': '2023-02-10T16:22:14', 'firstOnline': '2023-02-10T16:22:14', 'id': 8250360}",,,0,2023-02-10T16:22:14,2023-02-10T16:22:14,Faber College,Faber College,,,,,,,,,,,,,,,,,,,,
5,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/dataset/Item_with_multiple_files/8250358,Testing this out,,1,public,1990424,2023-03-01T15:48:52Z,2023-03-01T15:48:52Z,True,False,False,,,"{'value': 1, 'name': 'CC BY', 'url': 'https://creativecommons.org/licenses/by/4.0/'}","['http://www.bdnyc.org', 'http://www.recons.org']",False,"mf, andrew (2023): Item with multiple files. Faber College. Dataset. https://doi.org/10.0166/FK2.stagefigshare.8250358.v1",False,,file,,,[],8250358,Item with multiple files,10.0166/FK2.stagefigshare.8250358.v1,,https://api.figsh.com/v2/articles/8250358,2023-03-01T15:48:52Z,https://s3-eu-west-1.amazonaws.com/testfigsharepreviews.figshare.com/830311404/thumb.png,3,dataset,9991,https://api.figsh.com/v2/account/articles/8250358,https://api.figsh.com/v2/articles/8250358,https://figsh.com/account/articles/8250358,https://faber.figsh.com/articles/dataset/Item_with_multiple_files/8250358,"{'posted': '2023-03-01T15:48:52', 'firstOnline': '2023-03-01T15:48:52', 'id': 8250358}",,,0,2023-03-01T15:48:52,2023-03-01T15:48:52,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
6,"[{'name': 'Associated Collection (custom field)', 'value': ''}]",https://faber.figsh.com/articles/journal_contribution/Item_with_linked_and_free_text_funding/8250356,Astrophysics paper<br> Testing this out,The Role of the Gut Microbiota in Honey Bee Health,1,public,918741,2023-02-10T16:22:04Z,2023-02-10T16:22:05Z,True,False,False,,,"{'value': 1, 'name': 'CC BY', 'url': 'https://creativecommons.org/licenses/by/4.0/'}",['https://docs.figshare.com'],False,"Skolnick, Lewis (2015): Item with linked and free text funding. Faber College. Journal contribution. https://doi.org/10.0166/FK2.stagefigshare.8250356.v1",False,,,,,[],8250356,Item with linked and free text funding,10.0166/FK2.stagefigshare.8250356.v1,,https://api.figsh.com/v2/articles/8250356,2023-02-10T16:22:03Z,https://ndownloader.figsh.com/files/830311400/preview/830311400/thumb.png,6,journal contribution,9991,https://api.figsh.com/v2/account/articles/8250356,https://api.figsh.com/v2/articles/8250356,https://figsh.com/account/articles/8250356,https://faber.figsh.com/articles/journal_contribution/Item_with_linked_and_free_text_funding/8250356,"{'posted': '2023-02-10T16:22:03', 'firstOnline': '2015-02-21T00:00:00', 'id': 8250356}",The ecological impact of high-performance computing in astrophysics,10.1038/s41550-020-1208-y,191,2023-02-10T16:22:03,2015-02-21T00:00:00,Faber College,Faber College,,,,,,,,,,,,,,,,,,,,
7,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/dataset/Data_supporting_xxx/8205535,"<p> <strong>Laser guidance</strong> directs a robotics system to a target position by means of a <a href=""https://en.wikipedia.org/wiki/Laser"" target=""_blank"">laser</a> beam. The laser guidance of a <a href=""https://en.wikipedia.org/wiki/Robot"" target=""_blank"">robot</a> is accomplished by projecting a laser light, image processing and communication to improve the accuracy of guidance. The key idea is to show goal positions to the robot by laser light projection instead of communicating them numerically. This intuitive interface simplifies directing the robot while the visual <a href=""https://en.wikipedia.org/wiki/Feedback"" target=""_blank"">feedback</a> improves the positioning accuracy and allows for implicit localization. The guidance system may serve also as a mediator for cooperative multiple robots.<a href=""https://en.wikipedia.org/wiki/Laser_guidance#cite_note-Paromtchik2006-1"" target=""_blank"">[1]</a><a href=""https://en.wikipedia.org/wiki/Laser_guidance#cite_note-Paromtchik2003-2"" target=""_blank"">[2]</a> Examples of proof-of-concept experiments of directing a robot by a <a href=""https://en.wikipedia.org/wiki/Laser_pointer"" target=""_blank"">laser pointer</a> are shown on video.<a href=""https://en.wikipedia.org/wiki/Laser_guidance#cite_note-Paromtchik2002-3"" target=""_blank"">[3]</a><a href=""https://en.wikipedia.org/wiki/Laser_guidance#cite_note-frostydesign2014-4"" target=""_blank"">[4]</a> Laser guidance spans areas of robotics, <a href=""https://en.wikipedia.org/wiki/Computer_vision"" target=""_blank"">computer vision</a>, user interface, video games, communication and smart home technologies. </p>",UKRI COVID19 Doctoral Funding Kingston University,1,public,5781,2023-01-19T10:47:58Z,2023-01-19T10:47:58Z,True,False,False,,,"{'value': 3, 'name': 'MIT', 'url': 'https://opensource.org/licenses/MIT'}",[],False,"Clark, Adrian (2023): Data supporting xxx. Faber College. Dataset. https://doi.org/10.0166/FK2.stagefigshare.8205535.v1",False,,article,,,[],8205535,Data supporting xxx,10.0166/FK2.stagefigshare.8205535.v1,,https://api.figsh.com/v2/articles/8205535,2023-01-19T10:47:58Z,,3,dataset,9991,https://api.figsh.com/v2/account/articles/8205535,https://api.figsh.com/v2/articles/8205535,https://figsh.com/account/articles/8205535,https://faber.figsh.com/articles/dataset/Data_supporting_xxx/8205535,"{'posted': '2023-01-19T10:47:58', 'firstOnline': '2023-01-19T10:47:58', 'id': 8205535}",,,0,2023-01-19T10:47:58,2023-01-19T10:47:58,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
8,"[{'name': 'Associated Collection (custom field)', 'value': []}]",https://faber.figsh.com/articles/dataset/Untitled_Item/8196083,<p>testing</p>,,1,public,0,2023-02-08T21:16:13Z,2023-02-08T21:16:13Z,True,False,True,,,"{'value': 1, 'name': 'CC BY', 'url': 'https://creativecommons.org/licenses/by/4.0/'}",[],False,"faber, figshare admin (2023): Untitled Item. Faber College. Dataset. https://doi.org/10.0166/FK2.stagefigshare.8196083.v1",False,,article,,,[],8196083,Untitled Item,10.0166/FK2.stagefigshare.8196083.v1,,https://api.figsh.com/v2/articles/8196083,2023-02-08T21:16:13Z,,3,dataset,9991,https://api.figsh.com/v2/account/articles/8196083,https://api.figsh.com/v2/articles/8196083,https://figsh.com/account/articles/8196083,https://faber.figsh.com/articles/dataset/Untitled_Item/8196083,"{'posted': '2023-02-08T21:16:13', 'firstOnline': '2023-02-08T21:16:13', 'id': 8196083}",,,65,2023-02-08T21:16:13,2023-02-08T21:16:13,Faber College,Faber College,[],,,,,,,,,,,,,,,,,,,
9,"[{'name': 'Associated Collection (custom field)', 'value': ''}]",https://faber.figsh.com/articles/journal_contribution/Fully_embargoed2/8149050,<p>Description</p>,,1,public,156045,2022-12-15T18:32:06Z,2022-12-15T18:32:06Z,True,False,False,,,"{'value': 1, 'name': 'CC BY', 'url': 'https://creativecommons.org/licenses/by/4.0/'}",[],False,"faber, figshare admin (2022): Fully embargoed2. Faber College. Journal contribution. https://hdl.handle.net/10779/stage_penn_handle.8149050.v1",True,2047-11-08,article,File(s) under embargo,,"[{'id': 121, 'type': 'logged_in', 'ip_name': '', 'group_ids': []}]",8149050,Fully embargoed2,,10779/stage_penn_handle.8149050.v1,https://api.figsh.com/v2/articles/8149050,2022-12-15T18:32:06Z,https://ndownloader.figsh.com/files/830247884/preview/830247884/thumb.png,6,journal contribution,9991,https://api.figsh.com/v2/account/articles/8149050,https://api.figsh.com/v2/articles/8149050,https://figsh.com/account/articles/8149050,https://faber.figsh.com/articles/journal_contribution/Fully_embargoed2/8149050,"{'posted': '2022-12-15T18:32:06', 'firstOnline': '2022-12-15T18:32:06', 'id': 8149050}",,,0,2022-12-15T18:32:06,2022-12-15T18:32:06,Faber College,Faber College,,,,,,,,,,,,,,,,,,,,
