id,views,downloads,shares
6125027,393,119,0
14291321,87,74,0
7519295,255,69,0
14124392,111,66,0
11267840,424,105,0
14291326,67,86,0
14157029,58,62,0
7185506,246,32,0
7506584,260,152,0
9796175,240,51,0
7506806,250,199,0
14167256,52,60,0
7510400,201,169,0
14291325,87,169,0
7139783,579,130,1
14291324,73,32,0
11966085,181,73,0
9741251,686,313,0
9741257,991,413,0
4909469,676,241,2
7363904,859,152,1
14291355,79,99,0
7200761,735,224,1
14167286,81,55,0
7146656,864,188,1
14170181,70,197,0
13702945,452,382,0
9795950,199,64,0
14128811,73,52,0
7020548,174,31,0
4736524,1362,329,1
7710830,208,16,0
14125589,64,423,0
5772540,632,96,0
14171045,55,138,0
5862240,258,327,0
14291318,74,257,0
7511306,281,45,0
7517705,237,184,0
14116697,153,77,0
7146602,1064,128,1
7146641,882,151,1
12662567,539,3,0
14170238,71,139,0
14207846,56,197,0
11966232,172,95,0
7711016,132,25,0
17163581,32,10,0
14167250,48,51,0
14124353,64,45,0
7510607,280,40,0
14173208,67,1091,0
14167262,56,132,0
14204687,131,71,0
16634923,187,62,0
16634944,147,97,0
16634950,173,307,0
19899038,42,52,0
14567178,466,433,0
9724664,1798,504,0
7045703,229,37,0
14207555,67,356,0
14128499,137,529,0
14207891,167,1171,0
14125781,76,359,0
14153813,177,74,0
14189078,62,58,0
14204465,64,206,0
7553222,500,102,0
14204726,49,184,0
14207546,109,53,0
14173271,57,91,0
14166527,138,39,0
9724637,843,627,0
4736548,1191,258,1
11757066,318,713,0
7172447,690,1,0
14204735,55,516,0
9487922,729,233,0
7146698,1237,141,1
14207471,50,343,0
14204663,72,49,0
19977440,2479,18,0
14124284,35,660,0
14107397,57,142,0
7146650,896,121,1
14170922,73,224,0
9724712,1272,354,3
14329049,76,67,0
14207918,46,788,0
7020065,200,235,0
7517915,217,78,0
8194952,277,125,0
9943904,155,30,0
14156984,95,28,0
7517156,160,36,0
7710416,232,78,0
14125664,58,85,0
12923723,143,13,0
14291316,107,29,0
10009913,448,5,0
7516298,286,41,0
14291335,97,29,0
7710668,80,26,0
14329047,56,107,0
7019852,261,89,0
7512353,118,74,0
7518653,392,36,0
7510658,72,27,0
14291330,104,149,0
14170811,91,59,0
11965872,244,31,0
7519034,311,108,0
7515032,371,82,0
5862273,301,297,0
12923705,135,11,0
6234887,267,190,0
7519022,466,151,0
7519271,393,124,0
14167298,58,58,0
14125775,56,22,0
14153825,131,72,0
7507157,217,105,0
19921319,36,35,0
14204357,63,176,0
14207549,49,54,0
11266889,260,79,0
7710410,356,31,0
14156975,63,215,0
8194793,171,30,0
7516535,241,189,0
6125468,182,83,0
14291320,80,62,0
7710479,222,46,0
7710827,172,48,0
7508453,238,465,0
7514963,198,99,0
6723374,440,298,0
13701349,614,472,0
13700023,643,456,0
4736542,868,160,1
4909463,1008,228,1
9724655,1114,421,3
9724700,2252,497,3
14061740,58,260,0
14128856,85,58,0
12816209,276,82,0
14170808,114,63,0
9741278,1160,547,2
12696485,439,300,0
7834985,307,69,0
9741296,1133,405,4
14166404,67,1146,0
14153720,132,51,0
14170850,83,57,0
14167349,54,256,0
7509155,180,84,0
6235163,221,66,0
11966178,297,59,0
4233530,1496,358,0
14153678,108,116,0
14125823,83,214,0
14173253,122,51,0
14170637,88,381,0
14204681,142,68,0
14173037,46,1103,0
11266661,170,115,0
11265746,224,75,0
14156978,203,387,0
14170790,79,720,0
14061689,57,332,0
13133351,314,83,0
7508579,247,58,0
14156963,98,64,0
14153792,134,74,0
14166611,64,706,0
14119739,60,320,0
14291333,84,38,0
14061572,73,787,0
14124410,100,0,0
19750348,90,53,0
13701001,626,492,0
7518227,271,35,0
14124302,121,869,0
11756742,275,113,0
14166479,175,76,0
14166533,628,78,0
14272784,75,65,0
14128847,103,1092,0
14173187,62,1010,0
9724619,2277,686,0
14120360,51,1131,0
7987184,642,1,0
14173268,149,63,0
14125772,68,35,0
7511168,153,129,0
7517906,192,96,0
14125763,44,76,0
12311366,454,5,0
7508759,179,35,0
14291349,75,209,0
7511339,246,58,0
1125853,907,319,0
14125748,49,28,0
5861736,102,27,0
7512260,131,58,0
7020620,248,84,0
7515302,226,190,0
7514183,145,34,0
7020341,257,229,0
12662909,324,86,0
6125213,187,59,0
7498637,739,288,1
7506836,251,48,0
14291357,92,135,0
5772186,84,25,0
9796148,191,131,0
7516568,253,402,0
14204630,49,262,0
7507364,144,20,0
7743386,196,39,0
14157023,41,161,0
7517654,201,115,0
16634932,131,54,0
14207885,139,52,0
14170943,145,76,0
14204741,75,77,0
14171024,50,149,0
14291309,79,51,0
11267828,287,212,0
7506677,204,144,0
8127635,621,69,0
14167244,42,267,0
4909373,852,185,1
14170829,70,132,0
14167343,147,48,0
7516643,264,70,0
7019915,246,350,0
19904838,37,35,0
6125084,984,145,0
13703314,446,374,0
14125874,107,629,0
14173130,56,744,0
7710758,264,100,0
4736560,920,262,1
14124359,68,320,0
4909454,971,269,2
14124374,60,430,0
4736566,806,152,1
14107364,69,276,0
14204675,136,50,0
14204747,94,44,0
9724631,639,381,0
9724706,658,364,0
4736569,676,153,1
14291345,62,15,0
14153684,95,149,0
14156966,89,696,0
19899890,42,13,0
11966391,410,472,0
14329050,75,99,0
14125700,72,184,0
7743401,368,59,0
14171099,65,552,0
14128877,101,422,0
14173226,44,1260,0
14207798,101,940,0
11267579,456,157,0
14622756,458,145,0
14170736,79,647,0
14173235,76,515,0
14166629,71,963,0
19759015,80,53,0
14125571,58,462,0
9796328,287,112,0
14171144,76,1211,0
14171150,64,1183,0
14291343,83,59,0
6061460,1592,469,15
14170409,175,740,0
12816473,230,90,0
14170973,60,1106,0
14207534,51,1055,0
7515035,242,184,0
14119682,102,1222,0
19921776,38,9,0
14107157,63,974,0
9724718,1001,409,0
14204345,56,58,0
14204393,53,58,0
7591433,279,133,0
11965677,125,26,0
6124766,513,309,0
14207867,66,160,0
7020194,168,51,0
12923714,157,12,0
14128799,90,133,0
11267591,236,221,0
12681893,302,1,0
7710890,229,44,0
7518836,173,51,0
7711019,223,55,0
7710650,195,149,0
14167253,96,37,0
14125799,78,40,0
7515671,131,50,0
14291342,73,92,0
11965857,78,22,0
17121230,123,0,0
14291314,124,77,0
14125766,40,64,0
12923717,132,13,0
5862243,106,20,0
14204774,50,38,0
14170217,56,63,0
7710950,243,44,0
14204639,69,44,0
14124341,57,59,0
7511792,301,53,0
19898035,24,44,0
19921695,33,52,0
14204636,74,51,0
6723020,909,257,0
14123636,326,189,0
7506404,165,40,0
5931307,175,33,0
11756838,325,90,0
7516073,289,63,0
19709503,70,26,0
14204702,153,61,0
14207720,54,383,0
4736581,885,178,1
7508963,191,82,0
7512938,303,262,0
4903085,858,206,1
9724649,1043,674,0
9724661,840,275,4
9724679,1255,478,3
9724688,1432,508,4
4528874,891,243,1
4524506,828,204,1
7186829,480,259,0
5327416,1432,289,2
14171063,44,372,0
4736491,1009,312,1
14204693,144,67,0
7508201,252,33,0
14170196,47,580,0
14170781,94,369,0
11965917,285,120,0
14173262,130,70,0
12664865,327,172,0
14171159,67,699,0
14204690,118,62,0
14156981,55,228,0
14166548,127,62,0
14291329,80,45,0
14173241,138,60,0
14125970,68,719,0
13702723,469,387,0
14111819,6849,17,0
8194910,138,108,0
5861295,186,70,0
5993392,7999,677,123
14125679,41,305,0
14157017,60,62,0
14204729,54,58,0
14165129,51,576,0
7512602,285,36,0
14270907,65,31,0
7512716,372,245,0
7506386,210,177,0
14172677,65,803,0
14128835,99,1012,0
14125808,63,1190,0
14204768,99,761,0
20170349,9,10,0
14164145,57,1214,0
14291322,89,34,0
4736578,738,145,1
14171096,65,901,0
14153786,126,1338,0
16634947,208,90,0
14153696,77,65,0
14170142,49,54,0
14171042,57,21,0
6723464,436,1,0
14061719,73,32,0
14291313,78,123,0
12681713,325,4,0
7515083,80,29,0
11966358,133,43,0
7510967,199,109,0
11965752,110,42,0
7512893,139,26,0
14204669,63,120,0
7516013,322,59,0
14167295,66,53,0
14173193,62,152,0
14173265,58,54,0
7510385,91,30,0
12923720,141,10,0
9796163,115,37,0
5862237,246,138,0
8195072,262,46,0
7508609,131,40,0
7516304,207,112,0
7518095,280,109,0
13325285,198,0,0
14204711,41,61,0
7020077,264,526,0
10008734,577,302,1
7591610,175,42,0
11966346,251,32,0
14153831,137,53,0
7899908,249,63,0
7506407,186,28,0
9795899,158,34,0
14207708,52,51,0
14153705,113,282,0
4909406,1102,283,1
4909409,620,194,1
7516358,386,110,0
7506530,270,40,0
14170316,75,87,0
14166644,64,1018,0
8195003,148,27,0
5999141,130,49,0
7508681,165,89,0
4909394,822,258,1
14171006,154,88,0
6723635,462,369,0
20103512,26,7,0
8195069,182,47,0
14171648,88,794,0
14128901,91,561,0
14153690,102,172,0
14167268,64,100,0
8309237,799,373,0
7515194,194,74,0
