article_id,views,downloads
19224945,26,6
19224936,23,12
19224924,22,10
19224915,25,12
19224912,20,4
19224909,22,9
19224903,23,7
19224897,24,6
19224894,30,10
19224870,24,3
16934038,197,80
14264195,53,28
19111376,77,186
18190784,54,49
17152811,103,152
16725439,80,46
7070216,1360,158
7828334,1010,150
6459086,1605,263
12644940,596,3760
12645774,692,15784
17213138,212,308
16862209,236,95
13557536,2212,993
15070029,224,138
14885825,2850,34033
14887854,627,23245
12645919,314,23128
12646255,410,22864
12645805,1566,23635
12645692,723,15002
12645741,347,23067
12645482,818,12697
12645528,406,36368
12645569,729,27933
12645600,228,19531
12645365,306,21356
12645380,380,5607
12645399,364,7174
12645452,351,24318
12645291,402,5598
12645318,323,5968
12645336,831,7384
12645344,407,6679
12645217,292,7336
12645234,341,9109
12645006,544,5761
12645045,364,5794
12644917,312,8125
12644947,318,1758
12644890,394,35598
12644847,477,19938
12644859,510,16753
12644887,323,23118
12644830,694,14068
12644233,561,21263
12644247,3152,22832
12644812,384,8792
12644226,1921,21903
14832252,178,72
14762355,243,302
15082791,139,89
14390342,167,120
15046578,156,25
14454768,132,253
14454765,161,316
14454762,128,151
14454756,153,592
14454753,383,583
14695989,257,307
14036000,212,137
14555830,107,595
14394455,92,118
14439494,138,321
14428304,122,75
14394443,142,130
13626731,190,141
13708300,119,195
12245846,868,326
13713589,237,401
13656314,495,0
13661705,381,0
13522427,299,478
13388150,136,20
13175180,368,1396
13222085,199,132
12762011,397,550
13118186,306,179
13043486,384,200
12287951,724,282
8018600,310,122
8181866,309,381
12937655,213,201
12779954,440,117
12385709,779,526
12685775,1443,632
12668843,762,350
12605624,466,152
12103989,675,267
12563924,744,642
11624073,1655,1275
12582110,552,332
12550790,641,208
12298955,527,435
12145752,500,158
12209984,524,112
12206720,516,124
12206705,465,78
12290585,551,109
11916081,535,142
8178938,1748,779
12146172,578,427
11133818,828,820
11134193,630,801
12030744,462,315
11933214,657,285
11794368,572,235
10258952,854,1356
11132828,689,1603
11133206,610,1357
11133380,700,2473
11133566,607,1517
10252484,545,407
9941639,891,734
8016341,579,801
11371506,592,1536
8020583,588,481
9827243,715,195
8018588,1105,3824
9879716,502,161
11366153,596,0
11366003,745,0
11366192,778,0
11503833,638,204
11354111,516,250
10275884,785,314
10779986,801,273
11356430,1517,336
10250774,691,241
11343020,440,503
8018612,684,342
10022984,620,184
8018606,695,1138
10062203,1944,786
8214428,743,355
9916217,730,402
9916226,834,429
9763058,630,551
7771010,1670,196
7946732,772,204
7800956,1664,1067
8023580,842,298
7635962,935,225
7635959,853,324
7746635,917,484
7455404,4488,1374
6333104,1364,282
7575794,894,274
7528772,793,569
7218857,1399,767
7218866,1026,914
7218602,1018,882
7464500,828,125
7301873,2102,232
7301888,957,223
7301897,829,259
7125368,1120,168
7017491,1625,212
6531224,1602,210
6851063,1165,362
6850991,1311,525
