,funder_name,views
4,Directorate for Engineering,27551
1,Directorate for Biological Sciences,11382
5,Directorate for Geosciences,4523
2,Directorate for Computer & Information Science & Engineering,3443
9,National Institute of Food and Agriculture,2126
3,Directorate for Education & Human Resources,1646
17,United States Department of the Navy,1644
6,Directorate for Mathematical & Physical Sciences,1506
10,National Institute of General Medical Sciences,940
16,United States Department of the Army,744
14,Office of the Director,592
12,National Institute on Aging,551
7,National Aeronautics and Space Administration,440
8,National Institute of Allergy and Infectious Diseases,440
13,National Oceanic and Atmospheric Administration,440
0,Biological and Environmental Research,257
11,National Institute of Justice,236
15,United States Department of Agriculture,212
