id,license,categories,tags,funders,count_references,count_files
6125027,CC BY 4.0,['Art'],"['Body', 'Indigenous Peoples', 'Representations', 'Cultural studies', 'Twitter']",[],0,7
14291321,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation of Poetry', 'Antoine Berman', 'Deformation System', 'Productive Criticism', 'Robert Lowell']",[],0,7
7519295,CC BY 4.0,['Art'],"['Presence Effect', 'Intermedial Scene', 'Perception', 'Immersion and Interdisciplinarity']",[],0,4
14124392,CC BY 4.0,"['Art', 'Performance and Installation Art', 'Music Performance', 'Drama, Theatre and Performance Studies']","['2015', 'Performance', 'Theatre', 'Music', 'Poetry']",[],0,1
11267840,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Audiovisual Translation', 'Drag Queen', 'Subtitling', 'Camp', 'RuPaul’s Drag Race']",[],0,4
14291326,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation', 'Performance', 'Memory', 'Latin America']",[],0,5
14157029,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)']","['2013', 'Exhibitions', 'Group']",[],0,1
7185506,CC BY 4.0,['Art'],"['Decolonial', 'Aesthetics', 'Drama', 'Postdramatic', 'Coloniliaty']",[],0,2
7506584,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Discourse representation', 'Reporting verbs', 'Direct speech', 'Translator Monteiro Lobato']",[],0,5
9796175,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation memory systems', 'Turnitin', 'Translator training', 'Technology']",[],0,5
7506806,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Interpreter', 'Translation', 'Synonymy', 'Portuguese language', 'LIBRAS']",[],0,15
14167256,CC BY 4.0,"['Art', 'Electronic Media Art', 'Performance and Installation Art', 'Drama, Theatre and Performance Studies']","['2012', 'Trespass']",[],0,1
7510400,CC BY 4.0,['Art'],"['Photography', 'Poetry', 'Event', 'Education']",[],0,14
14291325,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Estrangement', 'Categorization', 'Poetry Translation', 'Paulo Leminski']",[],0,12
7139783,CC BY-NC-ND 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art', 'Art', 'Performing Arts', 'Political Theory and Political Philosophy']","['Agonism', 'Mischief', 'Participation', 'Street theatre', 'Participatory art practice', 'Chantal Mouffe', 'Mouffe', 'Politicised Practice', 'Dissent', 'Political dissent']","[{'id': 7139783, 'funder_name': None}]",1,1
14291324,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Stephen Leacock', 'Sunshine Sketches of a Little Town', 'Humour', 'Translation']",[],0,3
