,project_id,id,title,doi,handle,url,published_date,thumb,defined_type,defined_type_name,group_id,url_private_api,url_public_api,url_private_html,url_public_html,timeline,resource_title,resource_doi_x,description,is_embargoed,funding_list,is_metadata_record,resource_doi_y,count_categories,count_references,count_tags
0,,19630440,Acoustic Flight Path Example,10.25375/uct.19630440.v1,,https://api.figshare.com/v2/articles/19630440,2022-05-05T13:06:43Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/35014402/thumb.png,1,figure,18407,https://api.figshare.com/v2/account/articles/19630440,https://api.figshare.com/v2/articles/19630440,https://figshare.com/account/articles/19630440,https://zivahub.uct.ac.za/articles/figure/Acoustic_Flight_Path_Example/19630440,"{'posted': '2022-05-05T13:06:43', 'firstOnline': '2022-05-05T13:06:43'}",,,<p>Example of all the calls recorded from<em> Rhinolophus capensis</em> in the field from two microphone arrays. The blue and green lines show where the bat was in relation to each microphone array when it emitted the call. In this example any calls recorded outside of the area covered by the blue and green lines would not be included in the analysis. </p>,False,[],False,0,0,0,2
1,,16866583,A Comparison of Fluorescent Microscopy Methods for the Detection of Chlamydia trachomatis,10.25375/uct.16866583.v1,,https://api.figshare.com/v2/articles/16866583,2022-04-08T06:28:09Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/31180654/thumb.png,1,figure,36465,https://api.figshare.com/v2/account/articles/16866583,https://api.figshare.com/v2/articles/16866583,https://figshare.com/account/articles/16866583,https://zivahub.uct.ac.za/articles/figure/A_Comparison_of_Fluorescent_Microscopy_Methods_for_the_Detection_of_Chlamydia_trachomatis/16866583,"{'posted': '2022-04-08T06:28:09', 'firstOnline': '2022-04-08T06:28:09'}",,,"<p><a></a><i>Chlamydia trachomatis</i> (<i>C. trachomatis</i>) is the most common bacterial sexually transmitted pathogen worldwide, especially in low- and middle-income countries, including South Africa. Although frequently asymptomatic, <i>C. trachomatis</i> infections in women cause genital inflammation. Given that genital inflammation increases women’s risk for human immunodeficiency virus (HIV) infection, treating and preventing chlamydia is vital. Thus, the development of a vaccine is paramount in controlling infection and spread.  Research into new drugs should also be pursued, especially with the rise of antimicrobial resistance. Although <i>C. trachomatis</i> microbiology has advanced with technology, the culture and detection of <i>C. trachomatis in vitro</i> remains challenging. The aim of this study was to establish a method to quantify laboratory adapted stocks of <i>C. trachomatis</i> in <i>in vitro</i> cell culture.</p><p>First, <i>C. trachomatis</i> serovars E, H, L1 and L2 were propagated in McCoy cells, using centrifugation using an established protocol. These stocks of unknown concentration were used to compare and optimise quantification methods using fluorescent microscopy. Three commercially available reagents were compared: (1) Pathfinder’s <i>C. trachomatis </i>monoclonal antibody, (2) Invitrogen’s <i>C. trachomatis </i>MOMP antibodies, and (3) Trinity Biotech MicroTrak <i>C. trachomatis </i>culture confirmation kit.</p><p>The Pathfinder <i>C. trachomatis </i>monoclonal antibody kit and Invitrogen’s <i>C. trachomatis</i> MOMP Monoclonal Antibody kits both had poor sensitivity and gave high background fluorescent signals. Invitrogen’s polyclonal antibody yielded inconsistent results, being either very weakly fluorescent or giving extremely bright signals. Thus, enumeration using this polyclonal antibody had limited success and results were not reproducible. MicroTrak’s kit, in contrast, allowed for clear visualisation of inclusions and allowed for consistent and successful enumeration, although the  manufacturer has since taken the kit off the market.</p><p>In the research setting, fluorescent microscopy techniques are widely used for quantification of <i>C. trachomatis</i> due to their high sensitivity and inclusion bodies are easy to distinguish, even with an untrained eye. However, this study showed inconsistent and/or unreliable results from the available kits evaluated.  Although, rarely used in a research setting, future studies could explore qPCR-based methods to quantify <i>C. trachomatis</i> <i>in vitro.</i></p><p> </p><p> </p>",False,"[{'id': 21352057, 'title': 'MSC', 'grant_code': '', 'funder_name': None, 'is_user_defined': 1}]",False,0,0,0,5
2,128348.0,19227846,A note on the extent of autocorrelation of residuals in the GLM analyses of penguin response variables in the feasibility study,10.25375/uct.19227846.v1,,https://api.figshare.com/v2/articles/19227846,2022-04-07T13:35:46Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34154259/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19227846,https://api.figshare.com/v2/articles/19227846,https://figshare.com/account/articles/19227846,https://zivahub.uct.ac.za/articles/figure/A_note_on_the_extent_of_autocorrelation_of_residuals_in_the_GLM_analyses_of_penguin_response_variables_in_the_feasibility_study/19227846,"{'posted': '2022-04-07T13:35:46', 'firstOnline': '2022-04-07T13:35:46'}",,,"<div>One of the observations by the December 2014 IWS Panel on the penguin analyses presented in respect of the GLM analyses of penguin response variables was as follows:</div><div><br></div><div>“the observed residual patterns (some of the fits in MARAM/IWS/DEC14/Peng/B16 exhibit substantial serial correlation which needs to be reflected in the power calculations)”</div><div><br></div><div>This note examines this matter more systematically by estimating the autocorrelation in these residuals (Table 1) and also plotting the residuals themselves (Figure 1) and then the autocorrelation estimates (Figure 2) for the case of catches within a 10 nmi neighbourhood of the colony concerned, and either the combined sardine and anchovy catch (Robben and Dassen islands) or the sardine catch (St Croix and Bird islands).</div>",False,[],False,0,0,0,8
3,129353.0,19396754,Comparison of t values for different sets of surveys.,10.25375/uct.19396754.v1,,https://api.figshare.com/v2/articles/19396754,2022-04-04T11:25:54Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34461200/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19396754,https://api.figshare.com/v2/articles/19396754,https://figshare.com/account/articles/19396754,https://zivahub.uct.ac.za/articles/figure/Comparison_of_t_values_for_different_sets_of_surveys_/19396754,"{'posted': '2022-04-04T11:25:54', 'firstOnline': '2022-04-04T11:25:54'}",,,Annex E of Report of the ‘Second’ International Workshop on the Implementation Review for Western North Pacific Common Minke Whales. J. Cetacean Res. Manage. 15(Suppl.): 502<br>,False,[],False,0,0,1,7
4,128348.0,19352099,"A note on comparisons of recent west coast rock lobster assessments, including with OMP-2011 projections.",10.25375/uct.19352099.v1,,https://api.figshare.com/v2/articles/19352099,2022-04-04T09:57:48Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34373120/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19352099,https://api.figshare.com/v2/articles/19352099,https://figshare.com/account/articles/19352099,https://zivahub.uct.ac.za/articles/figure/A_note_on_comparisons_of_recent_west_coast_rock_lobster_assessments_including_with_OMP-2011_projections_/19352099,"{'posted': '2022-04-04T09:57:48', 'firstOnline': '2022-04-04T09:57:48'}",,,"Recent assessment results in FISHERIES/2015/JAN/SWG-WCRL/2 and FISHERIES/2015/JAN/SWG-WCRL/3 are summarized in Table 1. Note that while the two “2014” sets of results are comparable as they are based on the same data, the “2015” results are not as they include further data. This Table focuses on the estimated 75+ male biomass ratio for 2014 compared to 2006, as this relates to the statistic being used to measure resource recovery, and compares results for the RC1 poaching scenario.",False,[],False,0,0,0,6
5,128348.0,19352081,Super-area 7 (Dassen Island): Expected Situation regarding Exceptional Circumstances for the Next Two Seasons,10.25375/uct.19352081.v1,,https://api.figshare.com/v2/articles/19352081,2022-04-04T09:57:03Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34373096/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19352081,https://api.figshare.com/v2/articles/19352081,https://figshare.com/account/articles/19352081,https://zivahub.uct.ac.za/articles/figure/Super-area_7_Dassen_Island_Expected_Situation_regarding_Exceptional_Circumstances_for_the_Next_Two_Seasons/19352081,"{'posted': '2022-04-04T09:57:03', 'firstOnline': '2022-04-04T09:57:03'}",,,"A time series of the “J index” for rock lobster abundance in Super-area 7, which is calculated to determine whether Exceptional Circumstances are to be declared, is shown in Figure 1. If this “J index” falls below a threshold value of 0.80, then Exceptional Circumstances are declared for this Super-area.",False,[],False,0,0,0,4
6,129353.0,19383410,An updated Reference Case for the South African hake resource,10.25375/uct.19383410.v1,,https://api.figshare.com/v2/articles/19383410,2022-03-25T13:15:55Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34428947/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19383410,https://api.figshare.com/v2/articles/19383410,https://figshare.com/account/articles/19383410,https://zivahub.uct.ac.za/articles/figure/An_updated_Reference_Case_for_the_South_African_hake_resource/19383410,"{'posted': '2022-03-25T13:15:55', 'firstOnline': '2022-03-25T13:15:55'}",,,"The development of and results for an updated Reference Case for the South African hake resource are presented here. This update takes account of the recommendations made by the December 2013 International Fisheries Stock Assessment Review Workshop (Smith et al., 2013) as well as new species- and gender-disaggregated longline data.",False,[],False,0,0,0,6
7,128348.0,19242846,Horse Mackerel 2015 updated assessment,10.25375/uct.19242846.v1,,https://api.figshare.com/v2/articles/19242846,2022-02-28T05:25:36Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34194999/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19242846,https://api.figshare.com/v2/articles/19242846,https://figshare.com/account/articles/19242846,https://zivahub.uct.ac.za/articles/figure/Horse_Mackerel_2015_updated_assessment/19242846,"{'posted': '2022-02-28T05:25:36', 'firstOnline': '2022-02-28T05:25:36'}",,,The horse mackerel assessment has been updated with all available updated data. The estimated SR residuals have been extended by two further years (from up to 2011 to now up to 2013).,False,[],False,0,0,0,5
8,128348.0,19204893,Consolidated analyses produced in implementation of the approaches described in document MARAM/IWS/DEC15/PengD/P1,10.25375/uct.19204893.v1,,https://api.figshare.com/v2/articles/19204893,2022-02-28T05:18:39Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34117272/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19204893,https://api.figshare.com/v2/articles/19204893,https://figshare.com/account/articles/19204893,https://zivahub.uct.ac.za/articles/figure/Consolidated_analyses_produced_in_implementation_of_the_approaches_described_in_document_MARAM_IWS_DEC15_PengD_P1/19204893,"{'posted': '2022-02-28T05:18:39', 'firstOnline': '2022-02-28T05:18:39'}",,,"<div>This consolidated document includes a series of analyses, conducted under the auspices of the Task Team,</div><div>implementing the simulation approach detailed in MARAM/IWS/DEC15/PengD/P1. </div>",False,[],False,0,0,0,4
9,122968.0,19137134,An initial investigation into the increase in the fishing mortality species ratio (Fparadoxus/Fcapensis) in recent hake assessments,10.25375/uct.19137134.v1,,https://api.figshare.com/v2/articles/19137134,2022-02-28T04:52:23Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uct-28766567895329/34005944/thumb.png,1,figure,30647,https://api.figshare.com/v2/account/articles/19137134,https://api.figshare.com/v2/articles/19137134,https://figshare.com/account/articles/19137134,https://zivahub.uct.ac.za/articles/figure/An_initial_investigation_into_the_increase_in_the_fishing_mortality_species_ratio_Fparadoxus_Fcapensis_in_recent_hake_assessments/19137134,"{'posted': '2022-02-28T04:52:23', 'firstOnline': '2022-02-28T04:52:23'}",,,Recent hake assessments (Rademeyer and Butterworth 2016) have estimated the ratio of the fishing mortality on <i>M. paradoxu</i>s to that on <i>M. capensis</i> (Fpara/Fcap) for all fleets combined to be substantially higher than that estimated in previous assessments (Rademeyer and Butterworth 2014) (Figure 1). The performance of the current OMP has been tested based on projections that assumed that Fpara/Fcap would stay constant. It is therefore important to try to understand the reasons for this increase.,False,[],False,0,0,0,5
