id,public_url,posted_date,doi,title,description,type,categories,funders,count_categories,count_references,count_tags,origin,views,firstOnline,version
20685373,https://zivahub.uct.ac.za/articles/figure/2013_Updated_lobster_catch-at-length_data_from_the_Tristan_da_Cunha_fishery/20685373,2022-08-29T07:04:40,10.25375/uct.20685373.v1,2013 Updated lobster catch-at-length data from the Tristan da Cunha fishery,"<p>These catch-at-length (CAL) statistics are from the observer random samples of the commercial catch (both longline and powerboat). They represent the full size range of lobster landings i.e. include sublegal sizes, not only the legal sized portion of the catch.</p>
<p><br></p>
<p>The following statistics are presented graphically for each island and include:</p>
<p><br></p>
<p>1) Plots of the catch-at-length frequencies for the 2008 2011 seasons landings (Figure 1)</p>
<p>2) Plots of the average size of male lobsters in the landed catch since 1997 (Figure 2a)Â </p>
<p>3) Plots of the average size of female lobsters in the landed catch since 1997 (Figure 2b)</p>
<p>4) Plots of the percentage females in the landed catch since 1997 (Figure 3)</p>
<p><br></p>
<p>Note that, for example, the 2007 season refers to the period Sept 2007 to Aug 2008. There is a notable downward trend in the average size of males at Inaccessible over recent years.</p>",figure,"['Biological mathematics', 'Biostatistics', 'Applied statistics']",[],3,0,7,Comparison Records,19,2022-08-29T07:04:40,1
20153171,https://zivahub.uct.ac.za/articles/figure/Resource_indices_for_each_super-area_compared_with_the_threshold_levels_below_which_Exceptional_Circumstances_is_invoked_/20153171,2022-07-04T12:55:21,10.25375/uct.20153171.v1,Resource indices for each super-area compared with the threshold levels below which Exceptional Circumstances is invoked.,<p>This document provides the resource indices for each super-area of the west coast rock lobster fishery compared with the threshold levels below which Exceptional Circumstances is invoked. Area 7 is shown to have dropped further below the critical threshold.</p>,figure,"['Biological mathematics', 'Applied statistics', 'Biostatistics']",[],3,0,5,Comparison Records,44,2022-07-04T12:55:21,1
20153033,https://zivahub.uct.ac.za/articles/figure/Comparative_plots_of_commercial_CPUE_and_biomass_survey_index_data_Leg1_for_the_Tristan_da_Cunha_group_of_islands_/20153033,2022-07-04T11:43:25,10.25375/uct.20153033.v1,Comparative plots of commercial CPUE and biomass survey index data (Leg1) for the Tristan da Cunha group of islands.,<p>Comparative plots of commercial Catch Per Unit Effort (CPUE) and biomass survey index data (Leg1) for the Tristan da Cunha group of islands reveal that for Tristan and Gough there is good correlation between the two trends. There is poor correlation between the series for Inaccessible and a moderate correlation for Nightingale.</p>,figure,"['Biological mathematics', 'Applied statistics', 'Biostatistics']",[],3,0,9,Comparison Records,41,2022-07-04T11:43:25,1
19630440,https://zivahub.uct.ac.za/articles/figure/Acoustic_Flight_Path_Example/19630440,2022-05-05T13:06:43,10.25375/uct.19630440.v1,Acoustic Flight Path Example,<p>Example of all the calls recorded from<em> Rhinolophus capensis</em> in the field from two microphone arrays. The blue and green lines show where the bat was in relation to each microphone array when it emitted the call. In this example any calls recorded outside of the area covered by the blue and green lines would not be included in the analysis.Â </p>,figure,['Animal behaviour'],[],1,0,3,Comparison Records,83,2022-05-05T13:06:43,1
16866583,https://zivahub.uct.ac.za/articles/figure/A_Comparison_of_Fluorescent_Microscopy_Methods_for_the_Detection_of_Chlamydia_trachomatis/16866583,2022-04-08T06:28:09,10.25375/uct.16866583.v1,A Comparison of Fluorescent Microscopy Methods for the Detection of Chlamydia trachomatis,"<p><a></a><i>Chlamydia trachomatis</i> (<i>C. trachomatis</i>) is the most common bacterial sexually transmitted pathogen worldwide, especially in low- and middle-income countries, including South Africa. Although frequently asymptomatic, <i>C. trachomatis</i> infections in women cause genital inflammation. Given that genital inflammation increases womenâ€™s risk for human immunodeficiency virus (HIV) infection, treating and preventing chlamydia is vital. Thus, the development of a vaccine is paramount in controlling infection and spread.  Research into new drugs should also be pursued, especially with the rise of antimicrobial resistance. Although <i>C. trachomatis</i> microbiology has advanced with technology, the culture and detection of <i>C. trachomatis in vitro</i> remains challenging. The aim of this study was to establish a method to quantify laboratory adapted stocks of <i>C. trachomatis</i> in <i>in vitro</i> cell culture.</p><p>First, <i>C. trachomatis</i> serovars E, H, L1 and L2 were propagated in McCoy cells, using centrifugation using an established protocol. These stocks of unknown concentration were used to compare and optimise quantification methods using fluorescent microscopy. Three commercially available reagents were compared: (1) Pathfinderâ€™s <i>C. trachomatis </i>monoclonal antibody, (2) Invitrogenâ€™s <i>C. trachomatis </i>MOMP antibodies, and (3) Trinity Biotech MicroTrak <i>C. trachomatis </i>culture confirmation kit.</p><p>The Pathfinder <i>C. trachomatis </i>monoclonal antibody kit and Invitrogenâ€™s <i>C. trachomatis</i> MOMP Monoclonal Antibody kits both had poor sensitivity and gave high background fluorescent signals. Invitrogenâ€™s polyclonal antibody yielded inconsistent results, being either very weakly fluorescent or giving extremely bright signals. Thus, enumeration using this polyclonal antibody had limited success and results were not reproducible. MicroTrakâ€™s kit, in contrast, allowed for clear visualisation of inclusions and allowed for consistent and successful enumeration, although the  manufacturer has since taken the kit off the market.</p><p>In the research setting, fluorescent microscopy techniques are widely used for quantification of <i>C. trachomatis</i> due to their high sensitivity and inclusion bodies are easy to distinguish, even with an untrained eye. However, this study showed inconsistent and/or unreliable results from the available kits evaluated.  Although, rarely used in a research setting, future studies could explore qPCR-based methods to quantify <i>C. trachomatis</i> <i>in vitro.</i></p><p> </p><p> </p>",figure,['Medical virology'],"[{'item_id': 16866583, 'grant_title': 'MSC', 'funder_name': None, 'postDate': '2022-04-08T06:28:09'}]",1,0,6,Comparison Records,64,2022-04-08T06:28:09,1
19227846,https://zivahub.uct.ac.za/articles/figure/A_note_on_the_extent_of_autocorrelation_of_residuals_in_the_GLM_analyses_of_penguin_response_variables_in_the_feasibility_study/19227846,2022-04-07T13:35:46,10.25375/uct.19227846.v1,A note on the extent of autocorrelation of residuals in the GLM analyses of penguin response variables in the feasibility study,"<div>One of the observations by the December 2014 IWS Panel on the penguin analyses presented in respect of the GLM analyses of penguin response variables was as follows:</div><div><br></div><div>â€œthe observed residual patterns (some of the fits in MARAM/IWS/DEC14/Peng/B16 exhibit substantial serial correlation which needs to be reflected in the power calculations)â€</div><div><br></div><div>This note examines this matter more systematically by estimating the autocorrelation in these residuals (Table 1) and also plotting the residuals themselves (Figure 1) and then the autocorrelation estimates (Figure 2) for the case of catches within a 10 nmi neighbourhood of the colony concerned, and either the combined sardine and anchovy catch (Robben and Dassen islands) or the sardine catch (St Croix and Bird islands).</div>",figure,"['Applied statistics', 'Biological mathematics', 'Biostatistics']",[],3,0,11,Comparison Records,68,2022-04-07T13:35:46,1
19396754,https://zivahub.uct.ac.za/articles/figure/Comparison_of_t_values_for_different_sets_of_surveys_/19396754,2022-04-04T11:25:54,10.25375/uct.19396754.v1,Comparison of t values for different sets of surveys.,Annex E of Report of the â€˜Secondâ€™ International Workshop on the Implementation Review for Western North Pacific Common Minke Whales. J. Cetacean Res. Manage. 15(Suppl.): 502<br>,figure,"['Applied statistics', 'Biological mathematics', 'Biostatistics']",[],3,1,10,Comparison Records,74,2022-04-04T11:25:54,1
19352099,https://zivahub.uct.ac.za/articles/figure/A_note_on_comparisons_of_recent_west_coast_rock_lobster_assessments_including_with_OMP-2011_projections_/19352099,2022-04-04T09:57:48,10.25375/uct.19352099.v1,"A note on comparisons of recent west coast rock lobster assessments, including with OMP-2011 projections.","Recent assessment results in FISHERIES/2015/JAN/SWG-WCRL/2 and FISHERIES/2015/JAN/SWG-WCRL/3 are summarized in Table 1. Note that while the two â€œ2014â€ sets of results are comparable as they are based on the same data, the â€œ2015â€ results are not as they include further data. This Table focuses on the estimated 75+ male biomass ratio for 2014 compared to 2006, as this relates to the statistic being used to measure resource recovery, and compares results for the RC1 poaching scenario.",figure,"['Applied statistics', 'Biological mathematics', 'Biostatistics']",[],3,0,9,Comparison Records,81,2022-04-04T09:57:48,1
19352081,https://zivahub.uct.ac.za/articles/figure/Super-area_7_Dassen_Island_Expected_Situation_regarding_Exceptional_Circumstances_for_the_Next_Two_Seasons/19352081,2022-04-04T09:57:03,10.25375/uct.19352081.v1,Super-area 7 (Dassen Island): Expected Situation regarding Exceptional Circumstances for the Next Two Seasons,"A time series of the â€œJ indexâ€ for rock lobster abundance in Super-area 7, which is calculated to determine whether Exceptional Circumstances are to be declared, is shown in Figure 1. If this â€œJ indexâ€ falls below a threshold value of 0.80, then Exceptional Circumstances are declared for this Super-area.",figure,"['Biostatistics', 'Biological mathematics', 'Applied statistics']",[],3,0,7,Comparison Records,84,2022-04-04T09:57:03,1
19383410,https://zivahub.uct.ac.za/articles/figure/An_updated_Reference_Case_for_the_South_African_hake_resource/19383410,2022-03-25T13:15:55,10.25375/uct.19383410.v1,An updated Reference Case for the South African hake resource,"The development of and results for an updated Reference Case for the South African hake resource are presented here. This update takes account of the recommendations made by the December 2013 International Fisheries Stock Assessment Review Workshop (Smith et al., 2013) as well as new species- and gender-disaggregated longline data.",figure,"['Applied statistics', 'Biostatistics', 'Biological mathematics']",[],3,0,9,Comparison Records,60,2022-03-25T13:15:55,1
