,title
0,Biological mathematics
1,Biostatistics
2,Applied statistics
3,Biological mathematics
4,Applied statistics
5,Biostatistics
6,Biological mathematics
7,Applied statistics
8,Biostatistics
9,Animal behaviour
10,Medical virology
11,Applied statistics
12,Biological mathematics
13,Biostatistics
14,Applied statistics
15,Biological mathematics
16,Biostatistics
17,Applied statistics
18,Biological mathematics
19,Biostatistics
20,Biostatistics
21,Biological mathematics
22,Applied statistics
23,Applied statistics
24,Biostatistics
25,Biological mathematics
26,Applied statistics
27,Biological mathematics
28,Biostatistics
29,Applied statistics
30,Biological mathematics
31,Biostatistics
32,Applied statistics
33,Biological mathematics
34,Biostatistics
35,Biological mathematics
36,Biostatistics
37,Applied statistics
38,Applied statistics
39,Biological mathematics
40,Biostatistics
41,Mechanical engineering not elsewhere classified
42,Applied statistics
43,Biological mathematics
44,Biostatistics
45,Applied statistics
46,Biological mathematics
47,Biostatistics
48,Biostatistics
49,Biological mathematics
50,Applied statistics
51,Applied statistics
52,Biological mathematics
53,Biostatistics
54,Applied statistics
55,Biological mathematics
56,Biostatistics
57,Applied statistics
58,Biological mathematics
59,Biostatistics
60,Applied statistics
61,Biological mathematics
62,Biostatistics
63,Applied statistics
64,Biological mathematics
65,Biostatistics
66,Biological mathematics
67,Applied statistics
68,Biostatistics
69,Data communications
70,"Data models, storage and indexing"
71,Chemical engineering not elsewhere classified
72,Chemical engineering not elsewhere classified
73,"Bioprocessing, bioproduction and bioproducts"
74,Chemical engineering not elsewhere classified
75,"Bioprocessing, bioproduction and bioproducts"
76,Chemical engineering not elsewhere classified
77,Chemical engineering not elsewhere classified
78,"Bioprocessing, bioproduction and bioproducts"
79,Chemical engineering not elsewhere classified
80,Wastewater treatment processes
81,"Bioprocessing, bioproduction and bioproducts"
82,Chemical engineering not elsewhere classified
83,Hydrometallurgy
84,Microbiology not elsewhere classified
85,Microbial genetics
86,Cardiology (incl. cardiovascular diseases)
87,Community child health
88,Cardiology (incl. cardiovascular diseases)
89,Community child health
90,Cardiology (incl. cardiovascular diseases)
91,Community child health
92,Cardiology (incl. cardiovascular diseases)
93,Community child health
94,Cardiology (incl. cardiovascular diseases)
95,Community child health
96,Cardiology (incl. cardiovascular diseases)
97,Community child health
98,Cardiology (incl. cardiovascular diseases)
99,Community child health
100,Cardiology (incl. cardiovascular diseases)
101,Community child health
102,Cardiology (incl. cardiovascular diseases)
103,Community child health
104,Heritage and cultural conservation
105,Architectural heritage and conservation
106,Historical archaeology (incl. industrial archaeology)
107,Archaeology not elsewhere classified
108,Geospatial information systems and geospatial data modelling
109,Heritage and cultural conservation
110,Architectural heritage and conservation
111,Historical archaeology (incl. industrial archaeology)
112,Archaeology not elsewhere classified
113,Geospatial information systems and geospatial data modelling
114,Heritage and cultural conservation
115,Architectural heritage and conservation
116,Historical archaeology (incl. industrial archaeology)
