item_id,author_id,full_name,orcid_id
20685373,9998819,Susan Holloway,
20153171,9998819,Susan Holloway,
20153033,9998819,Susan Holloway,
19630440,12435051,Nikita Finger,
19630440,4542754,David Jacobs,0000-0002-3243-8571
16866583,11602957,Micaela Lurie,
16866583,3490937,Jo-Ann Passmore,
16866583,5705024,Rubina Bunjun,
19227846,10005953,Doug Butterworth,
19227846,9711599,Naseera Moosa,
19396754,9998876,Carryn de Moor,
19352099,9998819,Susan Holloway,
19352099,10005953,Doug Butterworth,
19352081,9998819,Susan Holloway,
19383410,10107625,Rebecca A Rademeyer,
19242846,9998819,Susan Holloway,
19242846,10005953,Doug Butterworth,
19204893,11338303,Mike Bergh,
19204893,10005953,Doug Butterworth,
19204893,12110421,Kevern Cochrane,
19204893,12110422,Taryn L Morris,
19204893,11401382,Richard Sherley,
19204893,10036472,Andrea Ross-Gillespie,
19204893,12110423,Henning Winker,
19137134,10107625,Rebecca A Rademeyer,
19137134,10005953,Doug Butterworth,
19121903,9998819,Susan Holloway,
19121903,10005953,Doug Butterworth,
19121903,11338307,Danie van Zyl,
19114787,10107625,Rebecca A Rademeyer,
19114787,10005953,Doug Butterworth,
16866337,11602567,Muhsin Osman,
16866337,11983145,Ernesto Ismail,
16866337,5858551,Trevor Cloete,
17152244,10036472,Andrea Ross-Gillespie,
17152244,10005953,Doug Butterworth,
17152625,11338301,Albie Fourie,
17152625,10036472,Andrea Ross-Gillespie,
17152625,11338303,Mike Bergh,
17152625,10005953,Doug Butterworth,
17152475,9998819,Susan Holloway,
16627558,10107625,Rebecca A Rademeyer,
16627558,10005953,Doug Butterworth,
16455516,11338307,Danie van Zyl,
16455516,10005953,Doug Butterworth,
16455438,10107625,Rebecca A Rademeyer,
16455438,10005953,Doug Butterworth,
16455477,10107625,Rebecca A Rademeyer,
15000633,10003679,Anabela Brandao,
14191163,10036472,Andrea Ross-Gillespie,
14139677,4574971,Lesley Mostert,0000-0002-5599-698X
5579674,4954807,Bernelle Verster,0000-0002-7439-4650
5579674,4574971,Lesley Mostert,0000-0002-5599-698X
5579674,5923184,Susan T L Harrison,0000-0002-2268-3506
5579677,4954807,Bernelle Verster,0000-0002-7439-4650
5579677,4574971,Lesley Mostert,0000-0002-5599-698X
5579677,5923184,Susan T L Harrison,0000-0002-2268-3506
5579686,4954807,Bernelle Verster,0000-0002-7439-4650
5579686,4574971,Lesley Mostert,0000-0002-5599-698X
5579686,5923184,Susan T L Harrison,0000-0002-2268-3506
5579722,4784937,Bernelle Verster,
5579722,4574971,Lesley Mostert,0000-0002-5599-698X
5579722,5923184,Susan T L Harrison,0000-0002-2268-3506
5579653,4954807,Bernelle Verster,0000-0002-7439-4650
5579653,4574971,Lesley Mostert,0000-0002-5599-698X
5579653,5923184,Susan T L Harrison,0000-0002-2268-3506
11907027,8499363,Michael Odidi,
11907027,4580500,Marijke Fagan-Endres,0000-0001-6442-6017
11907027,5923184,Susan T L Harrison,0000-0002-2268-3506
11907027,6076652,Emmanuel Ngoma,
11907027,6273455,Jochen Petersen,
11854716,5895272,Tomas Hessler,
11902545,6558680,Lisa H Telford,0000-0002-8554-057X
11902545,800528,Leila H. Abdullahi,
11902545,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902545,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902545,7515962,Mark Engel,0000-0002-1334-8829
11902527,6558680,Lisa H Telford,0000-0002-8554-057X
11902527,800528,Leila H. Abdullahi,
11902527,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902527,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902527,7515962,Mark Engel,0000-0002-1334-8829
11902515,6558680,Lisa H Telford,0000-0002-8554-057X
11902515,800528,Leila H. Abdullahi,
11902515,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902515,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902515,7515962,Mark Engel,0000-0002-1334-8829
11902347,6558680,Lisa H Telford,0000-0002-8554-057X
11902347,800528,Leila H. Abdullahi,
11902347,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902347,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902347,7515962,Mark Engel,0000-0002-1334-8829
11902551,6558680,Lisa H Telford,0000-0002-8554-057X
11902551,800528,Leila H. Abdullahi,
11902551,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902551,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902551,7515962,Mark Engel,0000-0002-1334-8829
11902575,6558680,Lisa H Telford,0000-0002-8554-057X
11902575,800528,Leila H. Abdullahi,
11902575,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902575,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902575,7515962,Mark Engel,0000-0002-1334-8829
11902584,6558680,Lisa H Telford,0000-0002-8554-057X
11902584,800528,Leila H. Abdullahi,
11902584,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902584,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902584,7515962,Mark Engel,0000-0002-1334-8829
11902608,6558680,Lisa H Telford,0000-0002-8554-057X
11902608,800528,Leila H. Abdullahi,
11902608,7250690,Eleanor Ochodo,0000-0002-7951-3030
11902608,8440572,Liesl J Zühlke,0000-0003-3961-2760
11902608,7515962,Mark Engel,0000-0002-1334-8829
11913282,6558680,Lisa H Telford,0000-0002-8554-057X
11913282,800528,Leila H. Abdullahi,
11913282,7250690,Eleanor Ochodo,0000-0002-7951-3030
11913282,8440572,Liesl J Zühlke,0000-0003-3961-2760
11913282,7515962,Mark Engel,0000-0002-1334-8829
11770581,6040169,Heinz Rüther,0000-0001-9296-5982
11770581,7499318,Ralph Schröder,0000-0002-4080-9264
11770581,6040445,Roshan Bhurtha,0000-0001-6723-6788
11770581,117012,Christoph Held,
11770581,7499315,Bruce McDonald,
11770581,7521101,Stephen Wessels,
11770587,6040169,Heinz Rüther,0000-0001-9296-5982
11770587,7499318,Ralph Schröder,0000-0002-4080-9264
