project_id,id,title,doi,handle,url,published_date,thumb,defined_type,defined_type_name,group_id,url_private_api,url_public_api,url_private_html,url_public_html,timeline,resource_title,resource_doi,views,downloads,shares,license,categories,tags,funders,count_references,count_files
,13649693,Writing Themselves In 4: the health and wellbeing of LGBTQA+ young people in Australia. South Australia summary report.,10.26181/60112d78eeffe,,https://api.figshare.com/v2/articles/13649693,2021-02-10T02:31:29Z,https://ndownloader.figshare.com/files/26393677/preview/26393677/thumb.png,18,report,21314,https://api.figshare.com/v2/account/articles/13649693,https://api.figshare.com/v2/articles/13649693,https://figshare.com/account/articles/13649693,https://opal.latrobe.edu.au/articles/report/Writing_Themselves_In_4_the_health_and_wellbeing_of_LGBTQA_young_people_in_Australia_South_Australia_summary_report_/13649693,"{'posted': '2021-02-10T02:31:29', 'firstOnline': '2021-02-10T02:31:29'}",,,312,131,0,In Copyright,['Public Health and Health Services not elsewhere classified'],"['LGBTIQA+', 'Youth', 'South Australia', 'Education', 'School', 'TAFE', 'University', 'Mental Health', 'Wellbeing', 'Lesbian', 'Gay', 'Bisexual', 'Pansexual', 'Queer', 'Trans', 'Transgender', 'Gender Diverse', 'Asexual']",[],0,1
,15159393,Best Practices for Using Race in Public Health Research,10.25417/uic.15159393.v1,,https://api.figshare.com/v2/articles/15159393,2021-08-14T13:28:12Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/29123847/thumb.png,18,report,24567,https://api.figshare.com/v2/account/articles/15159393,https://api.figshare.com/v2/articles/15159393,https://figshare.com/account/articles/15159393,https://indigo.uic.edu/articles/report/Best_Practices_for_Using_Race_in_Public_Health_Research/15159393,"{'posted': '2021-08-14T13:28:12', 'firstOnline': '2021-08-14T13:28:12'}",,,233,96,0,CC BY 4.0,['Public Health and Health Services not elsewhere classified'],"['Race', 'variables', 'antiracist', 'public health']",[],0,1
,7586939,Parental fear as a barrier to children’s independent mobility and resultant physical activity: final report 2015,10.26181/5c3d64c04f071,,https://api.figshare.com/v2/articles/7586939,2021-09-02T03:54:58Z,https://ndownloader.figshare.com/files/14088203/preview/14088203/thumb.png,18,report,29006,https://api.figshare.com/v2/account/articles/7586939,https://api.figshare.com/v2/articles/7586939,https://figshare.com/account/articles/7586939,https://opal.latrobe.edu.au/articles/report/Parental_fear_as_a_barrier_to_CIM_-_Final_report_2015_pdf/7586939,"{'posted': '2021-09-02T03:54:58', 'firstOnline': '2019-01-15T04:46:14'}",,,800,675,0,In Copyright,['Public Health and Health Services not elsewhere classified'],"[""children's independent mobility"", 'physical activity', 'parenting', 'parental fear', 'child health']","[{'id': 7586939, 'funder_name': None}]",0,1
93578,13315283,School District Wellness Policies: Evaluating Progress and Potential for Improving Children’s Health Eight Years after the Federal Mandate. School Years 2006-07 through 2013-14.,10.25417/uic.13315283.v1,,https://api.figshare.com/v2/articles/13315283,2020-12-16T23:50:03Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/25655918/thumb.png,18,report,33217,https://api.figshare.com/v2/account/articles/13315283,https://api.figshare.com/v2/articles/13315283,https://figshare.com/account/articles/13315283,https://indigo.uic.edu/articles/report/School_District_Wellness_Policies_Evaluating_Progress_and_Potential_for_Improving_Children_s_Health_Eight_Years_after_the_Federal_Mandate_School_Years_2006-07_through_2013-14_/13315283,"{'posted': '2020-12-16T23:50:03', 'firstOnline': '2020-12-16T23:50:03'}",,,310,92,0,CC BY 4.0,['Public Health and Health Services not elsewhere classified'],"['wellness policy', 'legal epidemiology', 'school nutrition', 'physical activity']","[{'id': 13315283, 'funder_name': None}]",0,1
,15261711,Standardised Data on Initiatives (STARDIT) Public consultation report – September 2019 to May 2021,10.26181/611dfcf12c6a9,,https://api.figshare.com/v2/articles/15261711,2021-11-19T01:09:16Z,https://s3-eu-west-1.amazonaws.com/ppreviews-latrobe-3848329482398942/31526816/thumb.png,18,report,26064,https://api.figshare.com/v2/account/articles/15261711,https://api.figshare.com/v2/articles/15261711,https://figshare.com/account/articles/15261711,https://opal.latrobe.edu.au/articles/report/Standardised_Data_on_Initiatives_STARDIT_Public_consultation_report_September_2019_to_May_2021/15261711,"{'posted': '2021-11-19T01:09:16', 'firstOnline': '2021-11-19T01:09:16'}",,,181,43,0,CC BY-SA 4.0,"['Database Management', 'Data Structures', 'Data Communications', 'Data Format', 'Genomics', 'Public Health and Health Services not elsewhere classified', 'Environmental Impact Assessment']","['data', 'stardit', 'public involvement', 'research', 'reporting', 'impact', 'outcomes']",[],0,1
94295,18054776,"Policy, systems, and environmental change",10.25417/uic.18054776.v1,,https://api.figshare.com/v2/articles/18054776,2022-01-07T22:45:55Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/32782835/thumb.png,18,report,33214,https://api.figshare.com/v2/account/articles/18054776,https://api.figshare.com/v2/articles/18054776,https://figshare.com/account/articles/18054776,https://indigo.uic.edu/articles/report/Policy_systems_and_environmental_change/18054776,"{'posted': '2022-01-07T22:45:55', 'firstOnline': '2022-01-07T22:45:55'}",,,86,51,0,In Copyright,"['Health Policy', 'Health and Community Services', 'Public Health and Health Services not elsewhere classified']","['policy change', 'systems change', 'environmental change', 'health', 'programs', 'communities', 'organizations', 'health inequities']","[{'id': 18054776, 'funder_name': None}, {'id': 18054776, 'funder_name': None}]",0,1
,13331405,Is digital media addiction real? A systematic scoping review,10.26181/5fc9a6bc02252,,https://api.figshare.com/v2/articles/13331405,2020-12-04T03:03:46Z,,18,report,29006,https://api.figshare.com/v2/account/articles/13331405,https://api.figshare.com/v2/articles/13331405,https://figshare.com/account/articles/13331405,https://opal.latrobe.edu.au/articles/report/Is_digital_media_addiction_real_A_systematic_scoping_review/13331405,"{'posted': '2020-12-04T03:03:46', 'firstOnline': '2020-12-04T03:03:46'}",,,315,0,0,In Copyright,['Public Health and Health Services not elsewhere classified'],"['digital media', 'addiction']",[],0,0
,12980831,Tracking global knowledge-to-policy pathways in the coronavirus crisis: A preliminary report from ongoing research,10.17608/k6.auckland.12980831.v1,,https://api.figshare.com/v2/articles/12980831,2020-09-20T20:01:14Z,https://s3-eu-west-1.amazonaws.com/ppreviews-auckland-41534891/24731975/thumb.png,18,report,24647,https://api.figshare.com/v2/account/articles/12980831,https://api.figshare.com/v2/articles/12980831,https://figshare.com/account/articles/12980831,https://auckland.figshare.com/articles/report/Tracking_global_knowledge-to-policy_pathways_in_the_coronavirus_crisis_A_preliminary_report_from_ongoing_research/12980831,"{'posted': '2020-09-20T20:01:14', 'firstOnline': '2020-09-20T20:01:14'}",,,472,213,0,CC BY-ND 4.0,"['Health Policy', 'Public Policy', 'Social Policy', 'Research, Science and Technology Policy', 'Public Health and Health Services not elsewhere classified']","['Evidence', 'Policy', 'COVID-19', 'Tracker', 'Policy making']",[],0,1
,13346609,Young people and sources of sexual health information,10.26181/5fd04054577e4,,https://api.figshare.com/v2/articles/13346609,2020-12-09T03:11:14Z,https://ndownloader.figshare.com/files/25724969/preview/25724969/thumb.png,18,report,29006,https://api.figshare.com/v2/account/articles/13346609,https://api.figshare.com/v2/articles/13346609,https://figshare.com/account/articles/13346609,https://opal.latrobe.edu.au/articles/report/Young_people_and_sources_of_sexual_health_information/13346609,"{'posted': '2020-12-09T03:11:14', 'firstOnline': '2020-12-09T03:11:14'}",,,409,224,0,CC BY 4.0,['Public Health and Health Services not elsewhere classified'],"['sexual health', 'gender']",[],0,1
,20076200,Townsville Family Violence Support Service Model,10.25946/20076200.v1,,https://api.figshare.com/v2/articles/20076200,2022-06-15T22:14:28Z,https://s3-eu-west-1.amazonaws.com/ppreviews-cqu-0121624439/35911316/thumb.png,18,report,30566,https://api.figshare.com/v2/account/articles/20076200,https://api.figshare.com/v2/articles/20076200,https://figshare.com/account/articles/20076200,https://acquire.cqu.edu.au/articles/report/Townsville_Family_Violence_Support_Service_Model/20076200,"{'posted': '2022-06-15T22:14:28', 'publisherPublication': '2020-07-21T00:00:00', 'firstOnline': '2022-06-15T22:14:28'}",,,24,9,0,CQUniversity Open Access 1.0,['Public Health and Health Services not elsewhere classified'],"['Aboriginal and Torres Strait Islander people', 'Domestic violence', 'Family violence']","[{'id': 20076200, 'funder_name': None}]",0,1
