id,license,categories,tags,funders,count_references,count_files
13649693,In Copyright,['Public Health and Health Services not elsewhere classified'],"['LGBTIQA+', 'Youth', 'South Australia', 'Education', 'School', 'TAFE', 'University', 'Mental Health', 'Wellbeing', 'Lesbian', 'Gay', 'Bisexual', 'Pansexual', 'Queer', 'Trans', 'Transgender', 'Gender Diverse', 'Asexual']",[],0,1
15159393,CC BY 4.0,['Public Health and Health Services not elsewhere classified'],"['Race', 'variables', 'antiracist', 'public health']",[],0,1
7586939,In Copyright,['Public Health and Health Services not elsewhere classified'],"[""children's independent mobility"", 'physical activity', 'parenting', 'parental fear', 'child health']","[{'id': 7586939, 'funder_name': None}]",0,1
13315283,CC BY 4.0,['Public Health and Health Services not elsewhere classified'],"['wellness policy', 'legal epidemiology', 'school nutrition', 'physical activity']","[{'id': 13315283, 'funder_name': None}]",0,1
15261711,CC BY-SA 4.0,"['Database Management', 'Data Structures', 'Data Communications', 'Data Format', 'Genomics', 'Public Health and Health Services not elsewhere classified', 'Environmental Impact Assessment']","['data', 'stardit', 'public involvement', 'research', 'reporting', 'impact', 'outcomes']",[],0,1
18054776,In Copyright,"['Health Policy', 'Health and Community Services', 'Public Health and Health Services not elsewhere classified']","['policy change', 'systems change', 'environmental change', 'health', 'programs', 'communities', 'organizations', 'health inequities']","[{'id': 18054776, 'funder_name': None}, {'id': 18054776, 'funder_name': None}]",0,1
13331405,In Copyright,['Public Health and Health Services not elsewhere classified'],"['digital media', 'addiction']",[],0,0
12980831,CC BY-ND 4.0,"['Health Policy', 'Public Policy', 'Social Policy', 'Research, Science and Technology Policy', 'Public Health and Health Services not elsewhere classified']","['Evidence', 'Policy', 'COVID-19', 'Tracker', 'Policy making']",[],0,1
13346609,CC BY 4.0,['Public Health and Health Services not elsewhere classified'],"['sexual health', 'gender']",[],0,1
20076200,CQUniversity Open Access 1.0,['Public Health and Health Services not elsewhere classified'],"['Aboriginal and Torres Strait Islander people', 'Domestic violence', 'Family violence']","[{'id': 20076200, 'funder_name': None}]",0,1
14452587,In Copyright,"['Health Promotion', 'Public Health and Health Services not elsewhere classified']","['young people', 'adolescents', 'Victoria', 'Australia', 'HIV', 'STIs', 'HPV', 'LGBTQIA+', 'Aboriginal Torres Strait Islander', 'sexual health', 'relationships and sexuality education', 'sex education', 'hepatitis', 'sexual health knowledge', 'rural']","[{'id': 14452587, 'funder_name': None}]",0,1
19701715,In Copyright,['Public Health and Health Services not elsewhere classified'],"['Health and social wellbeing', 'sex workers', 'sexual health', 'mental health', 'Victoria', 'Australia']","[{'id': 19701715, 'funder_name': None}]",0,1
19105496,CC BY 4.0,"['Public Nutrition Intervention', 'Public Health and Health Services not elsewhere classified', 'Public Policy']","['Junk food -- Health aspects', 'Unhealthy Food Advertising', 'unhealthy food and beverages', 'marketing to children']",[],0,1
