id,title,parent_id,path,source_id,taxonomy_id,item_id
29083,"Information modelling, management and ontologies",29074,/28798/29074/29083,460903,100,22812674
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22812392
25099,Analytical chemistry not elsewhere classified,25069,/25066/25069/25099,340199,100,20368035
24205,Translational and applied bioinformatics,24181,/24130/24181/24205,310208,100,22812059
26575,Environmental engineering not elsewhere classified,26554,/26212/26554/26575,401199,100,22801355
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22807247
24199,Sequence analysis,24181,/24130/24181/24199,310206,100,22807247
24295,Epigenetics (incl. genome methylation and epigenomics),24283,/24130/24283/24295,310504,100,22807103
24205,Translational and applied bioinformatics,24181,/24130/24181/24205,310208,100,22807103
29200,"Software testing, verification and validation",29176,/28798/29176/29200,461208,100,22679485
28831,Autonomous agents and multiagent systems,28825,/28798/28825/28831,460202,100,22679485
24049,Forestry sciences not elsewhere classified,24010,/23812/24010/24049,300799,100,22205020
26209,Other education not elsewhere classified,26206,/26065/26206/26209,399999,100,20405649
188,"Photonics, Optoelectronics and Optical Communications",6,,,10,22292380
28963,Data management and data science not elsewhere classified,28927,/28798/28927/28963,460599,100,22803071
29203,Software engineering not elsewhere classified,29176,/28798/29176/29203,461299,100,22678798
29230,Theory of computation not elsewhere classified,29206,/28798/29206/29230,461399,100,22678798
24451,Global change biology,24445,/24130/24445/24451,319902,100,22794107
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22707718
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,20220312
27199,Preventative health care,27184,/27001/27184/27199,420605,100,22799870
28843,Knowledge representation and reasoning,28825,/28798/28825/28843,460206,100,22721161
27094,Health care administration,27076,/27001/27076/27094,420306,100,14077166
27103,Health management,27076,/27001/27076/27103,420309,100,14077166
24199,Sequence analysis,24181,/24130/24181/24199,310206,100,22795409
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22795409
24361,Microbial genetics,24349,/24130/24349/24361,310704,100,22795409
25963,Environment and resource economics,25948,/25945/25948/25963,380105,100,22578808
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22710376
24214,Behavioural ecology,24211,/24130/24211/24214,310301,100,22710376
30376,Decision making,30370,/30292/30370/30376,520402,100,22710376
30391,Cognitive and computational psychology not elsewhere classified,30370,/30292/30370/30391,520499,100,22710376
30382,Memory and attention,30370,/30292/30370/30382,520404,100,22710376
24442,Zoology not elsewhere classified,24397,/24130/24397/24442,310999,100,22710376
24151,Enzymes,24133,/24130/24133/24151,310106,100,22793609
24736,Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience),24724,/24457/24724/24736,320904,100,22792568
24238,Ecology not elsewhere classified,24211,/24130/24211/24238,310399,100,22790081
24235,Terrestrial ecology,24211,/24130/24211/24235,310308,100,22790048
26869,Carbon sequestration science,26866,/26863/26866/26869,410101,100,21510183
25894,Hydrology not elsewhere classified,25876,/25717/25876/25894,370799,100,21510183
24238,Ecology not elsewhere classified,24211,/24130/24211/24238,310399,100,22788443
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22787498
13110,"Biology, Life Sciences and Basic Medicine",13109,,,71,22778660
38,Chemistry,0,,,71,22778660
6,Physics,0,,,71,22778660
27205,Public health not elsewhere classified,27184,/27001/27184/27205,420699,100,21293394
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22783106
24400,Animal behaviour,24397,/24130/24397/24400,310901,100,22783106
24223,Freshwater ecology,24211,/24130/24211/24223,310304,100,22783106
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22783031
24400,Animal behaviour,24397,/24130/24397/24400,310901,100,22783031
24223,Freshwater ecology,24211,/24130/24211/24223,310304,100,22783031
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22782989
24235,Terrestrial ecology,24211,/24130/24211/24235,310308,100,22782989
24238,Ecology not elsewhere classified,24211,/24130/24211/24238,310399,100,22782989
24439,Vertebrate biology,24397,/24130/24397/24439,310914,100,22782989
26932,Conservation and biodiversity,26929,/26863/26929/26932,410401,100,22782989
26935,Environmental assessment and monitoring,26929,/26863/26929/26935,410402,100,22782989
26941,Environmental management,26929,/26863/26929/26941,410404,100,22782989
26950,Wildlife and habitat management,26929,/26863/26929/26950,410407,100,22782989
26953,Environmental management not elsewhere classified,26929,/26863/26929/26953,410499,100,22782989
29812,Numerical analysis,29806,/29746/29806/29812,490302,100,22779443
26590,"Computational methods in fluid flow, heat and mass transfer (incl. computational fluid dynamics)",26578,/26212/26578/26590,401204,100,22779443
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22318258
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22318258
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22318258
24451,Global change biology,24445,/24130/24445/24451,319902,100,22776812
